symbol,option_type,strike_price,expiration_date,last_price_usd,bid_price_usd,ask_price_usd,bid_iv,ask_iv,delta,gamma,theta,vega,open_interest,total traded volume,monetary volume
BTC-2MAR25-77000-C,call,77000.0,2025-03-02,0.0,5230.2675,10800.715,0.8,442.86,0.9916,1e-05,-40.23585,0.81637,0.0,0.0,0.0
BTC-2MAR25-77000-P,put,77000.0,2025-03-02,8.5045,0.0,8.5045,0.8,96.68,-0.0084,1e-05,-9.95634,0.81637,79.0,42.4,1070.63
BTC-2MAR25-78000-C,call,78000.0,2025-03-02,8079.275000000001,6718.555,7101.257500000001,0.8,138.28,0.98507,1e-05,-63.48006,1.34627,1.1,0.7,4940.97
BTC-2MAR25-78000-P,put,78000.0,2025-03-02,17.009,8.5045,17.009,86.0,94.19,-0.01425,1e-05,-18.05784,1.29462,68.8,54.3,1436.05
BTC-2MAR25-79000-C,call,79000.0,2025-03-02,7228.825000000001,5783.06,6080.7175,0.8,118.1,0.98481,1e-05,-54.91962,1.36673,16.1,1.3,7451.0
BTC-2MAR25-79000-P,put,79000.0,2025-03-02,8.5045,8.5045,17.009,74.99,82.35,-0.01402,1e-05,-15.66913,1.27672,48.8,44.0,2266.47
BTC-2MAR25-80000-C,call,80000.0,2025-03-02,4890.087500000001,4805.0425000000005,5060.1775,0.8,98.15,0.97443,2e-05,-78.39307,2.12581,29.6,4.0,18902.94
BTC-2MAR25-80000-P,put,80000.0,2025-03-02,51.026999999999994,17.009,34.018,69.07,77.29,-0.02557,2e-05,-25.7866,2.12581,228.6,221.3,27626.38
BTC-2MAR25-81000-C,call,81000.0,2025-03-02,4124.6825,3827.0249999999996,4082.1600000000003,0.8,86.29,0.96148,4e-05,-96.15498,2.98256,26.2,4.9,18904.35
BTC-2MAR25-81000-P,put,81000.0,2025-03-02,42.5225,25.513499999999997,51.026999999999994,60.62,69.03,-0.03852,4e-05,-35.93529,2.98256,67.6,44.9,8892.07
